,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40194523.0,1.116764092461055
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40194523.0,1.1701619148459605
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40194523.0,1.1851540071765498
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40194523.0,1.1926301501326437
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40194523.0,1.1931327061649668
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40194523.0,1.1947548177148415
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40194523.0,1.1983971049986089
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40194523.0,1.1986707741251215
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40194523.0,1.2015368362500534
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40194523.0,1.2059777398030076
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40194523.0,1.4482769207137998
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40194523.0,1.6157275955234
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40194523.0,1.7395404841599935
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40194523.0,1.8070845124844497
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40194523.0,1.8291372682790636
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40194523.0,1.8483463530590973
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40194523.0,1.9170323280114556
17,Afghanistan,AFG,2021-11-14,4018197.0,3530173.0,3188609.0,0,40194523.0,8.782721466802828
18,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2870780.0,0.019123722472638098
19,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2870780.0,0.024000445871853644
20,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2870780.0,0.03796877503674959
21,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2870780.0,0.08492465462348212
22,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2870780.0,0.21154529431025715
23,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2870780.0,15.358926842182264
24,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2870780.0,15.492479395843638
25,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2870780.0,15.515016824695726
26,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2870780.0,15.625404942210826
27,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2870780.0,15.918321849810853
28,Albania,ALB,2021-05-18,688947.0,460191.0,228756.0,3,2870780.0,16.030172984345718
29,Albania,ALB,2021-05-19,697811.0,463402.0,234409.0,1,2870780.0,16.14202411888058
30,Albania,ALB,2021-05-20,703743.0,466083.0,237660.0,2,2870780.0,16.23541337197556
31,Albania,ALB,2021-05-21,708846.0,469169.0,239677.0,2,2870780.0,16.342910289189696
32,Albania,ALB,2021-05-23,716616.0,472840.0,243776.0,1,2870780.0,16.470784943464842
33,Albania,ALB,2021-05-24,725135.0,475237.0,249898.0,2,2870780.0,16.554281414807125
34,Albania,ALB,2021-05-26,748986.0,479789.0,269197.0,2,2870780.0,16.712844592758763
35,Albania,ALB,2021-05-27,759043.0,481788.0,277255.0,0,2870780.0,16.782477236151845
36,Albania,ALB,2021-05-30,772204.0,485162.0,287042.0,1,2870780.0,16.900006270072943
37,Albania,ALB,2021-05-31,776461.0,486128.0,290333.0,1,2870780.0,16.93365566152753
38,Albania,ALB,2021-06-01,780342.0,487078.0,293264.0,1,2870780.0,16.966747713165063
39,Albania,ALB,2021-06-03,787321.0,490050.0,297271.0,0,2870780.0,17.070273584182697
40,Albania,ALB,2021-06-06,798624.0,492522.0,306102.0,0,2870780.0,17.156382585917417
41,Albania,ALB,2021-06-07,803682.0,493346.0,310336.0,0,2870780.0,17.185085586495656
42,Albania,ALB,2021-06-08,809992.0,494437.0,315555.0,1,2870780.0,17.223089195270973
43,Albania,ALB,2021-06-09,816556.0,496024.0,320532.0,0,2870780.0,17.278370338374938
44,Albania,ALB,2021-06-10,823053.0,498437.0,324616.0,0,2870780.0,17.362424149534274
45,Albania,ALB,2021-06-11,830281.0,501735.0,328546.0,0,2870780.0,17.477305819324364
46,Albania,ALB,2021-06-12,834868.0,503721.0,331147.0,1,2870780.0,17.546485624116094
47,Albania,ALB,2021-06-13,836430.0,504257.0,332173.0,0,2870780.0,17.565156507987375
48,Albania,ALB,2021-06-14,842535.0,507764.0,334771.0,0,2870780.0,17.687318429137726
49,Albania,ALB,2021-06-15,848430.0,507854.0,340576.0,0,2870780.0,17.69045346560865
50,Albania,ALB,2021-06-16,854227.0,509282.0,344945.0,1,2870780.0,17.740196044280648
51,Albania,ALB,2021-06-17,862628.0,511175.0,351453.0,0,2870780.0,17.806136311385757
52,Albania,ALB,2021-06-20,880912.0,515884.0,365028.0,0,2870780.0,17.970168386292226
53,Albania,ALB,2021-06-21,890052.0,519674.0,370378.0,0,2870780.0,18.102188255456706
54,Albania,ALB,2021-06-22,901429.0,525800.0,375629.0,1,2870780.0,18.31557973791095
55,Albania,ALB,2021-06-23,912874.0,532225.0,380649.0,0,2870780.0,18.53938650819638
56,Albania,ALB,2021-06-24,922886.0,537018.0,385868.0,0,2870780.0,18.706344617142378
57,Albania,ALB,2021-06-28,943439.0,547300.0,396139.0,0,2870780.0,19.064505117076195
58,Albania,ALB,2021-06-29,955498.0,556252.0,399246.0,0,2870780.0,19.376336744717463
59,Albania,ALB,2021-06-30,968034.0,564530.0,403504.0,0,2870780.0,19.664690432565365
60,Albania,ALB,2021-07-01,974486.0,567084.0,407402.0,0,2870780.0,19.753655800862482
61,Albania,ALB,2021-07-02,981499.0,569352.0,412147.0,0,2870780.0,19.832658719929775
62,Albania,ALB,2021-07-04,988550.0,571759.0,416791.0,0,2870780.0,19.916503528657717
63,Albania,ALB,2021-07-05,994081.0,574187.0,419894.0,0,2870780.0,20.001079845895543
64,Albania,ALB,2021-07-06,1000063.0,576905.0,423158.0,0,2870780.0,20.095757947317452
65,Albania,ALB,2021-07-07,1005663.0,579552.0,426111.0,0,2870780.0,20.187962853301194
66,Albania,ALB,2021-07-08,1011297.0,582106.0,429191.0,0,2870780.0,20.27692822159831
67,Albania,ALB,2021-07-09,1016554.0,584832.0,431722.0,0,2870780.0,20.371884992928752
68,Albania,ALB,2021-07-10,1021408.0,587238.0,434170.0,0,2870780.0,20.455694967918127
69,Albania,ALB,2021-07-11,1022802.0,587876.0,434926.0,0,2870780.0,20.477918893123125
70,Albania,ALB,2021-07-12,1029234.0,590476.0,438758.0,0,2870780.0,20.568486613394267
71,Albania,ALB,2021-07-13,1035667.0,592502.0,443165.0,0,2870780.0,20.639059767728632
72,Albania,ALB,2021-07-14,1043499.0,594669.0,448830.0,0,2870780.0,20.714544479200775
73,Albania,ALB,2021-07-15,1052108.0,596977.0,455131.0,0,2870780.0,20.7949407478107
74,Albania,ALB,2021-07-16,1060042.0,599387.0,460655.0,0,2870780.0,20.878890057754337
75,Albania,ALB,2021-07-17,1067135.0,601701.0,465434.0,0,2870780.0,20.959495328795658
76,Albania,ALB,2021-07-18,1069365.0,602460.0,466905.0,0,2870780.0,20.98593413636712
77,Albania,ALB,2021-07-20,1082424.0,609538.0,472886.0,0,2870780.0,21.232487337936032
78,Albania,ALB,2021-07-21,1095453.0,616592.0,478861.0,0,2870780.0,21.47820452977936
79,Albania,ALB,2021-07-22,1109785.0,624490.0,485295.0,0,2870780.0,21.753321396972254
80,Albania,ALB,2021-07-25,1138771.0,640047.0,498724.0,0,2870780.0,22.295229867840796
81,Albania,ALB,2021-07-29,1179769.0,660756.0,519013.0,1,2870780.0,23.016601759800473
82,Albania,ALB,2021-07-30,1190847.0,665632.0,525215.0,0,2870780.0,23.186451069047436
83,Albania,ALB,2021-07-31,1198933.0,670215.0,528718.0,0,2870780.0,23.346094092894614
84,Albania,ALB,2021-08-01,1203087.0,672765.0,530322.0,0,2870780.0,23.43492012623747
85,Albania,ALB,2021-08-02,1212761.0,677938.0,534823.0,0,2870780.0,23.615115055838483
86,Albania,ALB,2021-08-03,1221640.0,683052.0,538588.0,0,2870780.0,23.79325479486411
87,Albania,ALB,2021-08-04,1229405.0,687768.0,541637.0,0,2870780.0,23.957530705940545
88,Albania,ALB,2021-08-05,1238036.0,693000.0,545036.0,0,2870780.0,24.139780826116944
89,Albania,ALB,2021-08-08,1259952.0,706470.0,553482.0,1,2870780.0,24.60899128459861
90,Albania,ALB,2021-08-10,1280239.0,720232.0,560007.0,1,2870780.0,25.088373194741497
91,Albania,ALB,2021-08-13,1309995.0,742540.0,567455.0,0,2870780.0,25.86544423466793
92,Albania,ALB,2021-08-15,1321198.0,750965.0,570233.0,2,2870780.0,26.15891848208501
93,Albania,ALB,2021-08-16,1330754.0,757938.0,572816.0,1,2870780.0,26.401814141104506
94,Albania,ALB,2021-08-17,1340339.0,764997.0,575342.0,2,2870780.0,26.64770550164067
95,Albania,ALB,2021-08-19,1358228.0,776986.0,581242.0,3,2870780.0,27.06532719330635
96,Albania,ALB,2021-08-21,1373349.0,785724.0,587625.0,2,2870780.0,27.36970440089453
97,Albania,ALB,2021-08-22,1376763.0,787510.0,589253.0,2,2870780.0,27.431917457973093
